ORGANIZATION,PROGRAM,DESCRIPTION,YTD_AMOUNT,QTD_AMOUNT                                                                                                                                                                                                    
2024 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,24858.32,12522.6
2024 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,48418.62,12570
2024 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,41684.26,18106.33
2024 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7550.34,1912.53
2024 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1685876.37,563357.24
2024 HON. VERONICA ESCOBAR,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1685876.37,563357.24
2024 HON. VERONICA ESCOBAR,INTERN ALLOWANCES,PERSONNEL COMPENSATION,46751.72,0
2024 HON. VERONICA ESCOBAR,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,46751.72,0
2024 HON. VERONICA ESCOBAR,INTERN ALLOWANCES,OFFICE TOTALS:,46751.72,0
2024 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1460.74,1032.11
2024 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1568142.72,419423.6
2024 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,52582.2,15542.37
2024 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,141844.34,56907.09
2024 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,245.44,20.94
2024 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,1005.6,736.5
2024 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12963.28,2753.48
2024 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4941.6,1235.4
2024 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1783185.92,497651.49
2024 HON. ANNA G. ESHOO,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1783185.92,497651.49
2024 HON. ANNA G. ESHOO,INTERN ALLOWANCES,PERSONNEL COMPENSATION,45179.97,11633.33
2024 HON. ANNA G. ESHOO,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,45179.97,11633.33
2024 HON. ANNA G. ESHOO,INTERN ALLOWANCES,OFFICE TOTALS:,45179.97,11633.33
2024 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,41746.07,46.7
2024 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1451749.52,389201.39
2024 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,34750.52,7085.25
2024 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,164238.32,42481.12
2024 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,72705.69,1881.13
2024 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32514.8,7440
2024 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,55587.45,7031.09
2024 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7069.36,3712.74
2024 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1860361.73,458879.42
2024 HON. ADRIANO ESPAILLAT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1860361.73,458879.42
2024 HON. ADRIANO ESPAILLAT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,42483.89,15500
2024 HON. ADRIANO ESPAILLAT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,42483.89,15500
2024 HON. ADRIANO ESPAILLAT,INTERN ALLOWANCES,OFFICE TOTALS:,42483.89,15500
2024 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,88834.74,-18956.39
2024 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1495574.74,426743.79
2024 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,84727.46,35532.72
2024 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,65932.12,26484.82
2024 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,65780.45,22720.92
2024 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,37701.96,9174.76
2024 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,14069.95,2606.32
2024 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5864.78,1168.08
2024 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1858486.2,505475.02
2024 HON. RON ESTES,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1858486.2,505475.02
2024 HON. RON ESTES,INTERN ALLOWANCES,PERSONNEL COMPENSATION,40266.66,6183.33
2024 HON. RON ESTES,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,40266.66,6183.33
2024 HON. RON ESTES,INTERN ALLOWANCES,OFFICE TOTALS:,40266.66,6183.33
2024 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1749.02,1731.14
2024 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1218318.06,323022.48
2024 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,11934.4,2999.44
2024 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,49279.57,10796.1
2024 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6602.05,2485.7
2024 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4513.11,570
2024 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,62330.26,42856.68
2024 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7898,3873
2024 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1362624.47,388334.54
2024 HON. DWIGHT EVANS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1362624.47,388334.54
2024 HON. DWIGHT EVANS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,37516.67,6500
2024 HON. DWIGHT EVANS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,37516.67,6500
2024 HON. DWIGHT EVANS,INTERN ALLOWANCES,OFFICE TOTALS:,37516.67,6500
2024 HON. MIKE EZELL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4963.78,4360.52
2024 HON. MIKE EZELL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1430944.81,482633.37
2024 HON. MIKE EZELL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,87541.64,24895.07
2024 HON. MIKE EZELL,OFFICIAL EXPENSES OF MEMBERS,TRANSPORTATION OF THINGS,49,49
2024 HON. MIKE EZELL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,101218.39,26039.8
2024 HON. MIKE EZELL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6495.85,196.9
2024 HON. MIKE EZELL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31599.97,8240
2024 HON. MIKE EZELL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,30781.69,14459.13
2024 HON. MIKE EZELL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,27073.22,11970.97
2024 HON. MIKE EZELL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1720668.35,572844.76
2024 HON. MIKE EZELL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1720668.35,572844.76
2024 HON. MIKE EZELL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,26391.67,0
2024 HON. MIKE EZELL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,26391.67,0
2024 HON. MIKE EZELL,INTERN ALLOWANCES,OFFICE TOTALS:,26391.67,0
2024 HON. PAT FALLON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,30392.06,1619.47
2024 HON. PAT FALLON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1231787.58,347756.95
2024 HON. PAT FALLON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,126166.32,36996.47
2024 HON. PAT FALLON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,89974.76,21697.04
2024 HON. PAT FALLON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,294834.69,10690.42
2024 HON. PAT FALLON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,996,0
2024 HON. PAT FALLON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,28853.35,7451.57
2024 HON. PAT FALLON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,15168.31,1840
2024 HON. PAT FALLON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1818173.07,428051.92
2024 HON. PAT FALLON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1818173.07,428051.92
2024 HON. PAT FALLON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,32600,7960
2024 HON. PAT FALLON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,32600,7960
2024 HON. PAT FALLON,INTERN ALLOWANCES,OFFICE TOTALS:,32600,7960
2024 HON. RANDY FEENSTRA,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,80543.34,5888.32
2024 HON. RANDY FEENSTRA,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1344255.05,423525.01
2024 HON. RANDY FEENSTRA,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,105793.35,32538.22
2024 HON. RANDY FEENSTRA,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,71084.16,14111.06
2024 HON. RANDY FEENSTRA,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,146978.93,2337.3
2024 HON. RANDY FEENSTRA,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,25122.43,10663.05
2024 HON. RANDY FEENSTRA,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,34960.02,27800.77
2024 HON. RANDY FEENSTRA,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,16582.44,10326.46
2024 HON. RANDY FEENSTRA,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1825319.72,527190.19
2024 HON. RANDY FEENSTRA,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1825319.72,527190.19
2024 HON. RANDY FEENSTRA,INTERN ALLOWANCES,PERSONNEL COMPENSATION,25196.66,0
2024 HON. RANDY FEENSTRA,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,25196.66,0
2024 HON. RANDY FEENSTRA,INTERN ALLOWANCES,OFFICE TOTALS:,25196.66,0
2024 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,316.26,88.06
2024 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1623445.18,443788.67
2024 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,28145.02,7683.83
2024 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,30005.11,7951.67
2024 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,872.74,30
2024 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,3381.19,1280
2024 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,2698.72,1217.68
2024 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2878.8,719.7
2024 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1691743.02,462759.61
2024 HON. A. DREW FERGUSON IV,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1691743.02,462759.61
2024 HON. A. DREW FERGUSON IV,INTERN ALLOWANCES,PERSONNEL COMPENSATION,20000,2333.33
2024 HON. A. DREW FERGUSON IV,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,20000,2333.33
2024 HON. A. DREW FERGUSON IV,INTERN ALLOWANCES,OFFICE TOTALS:,20000,2333.33
2024 HON. BRAD FINSTAD,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,77351.25,48716.32
2024 HON. BRAD FINSTAD,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1230724.63,354500.03
2024 HON. BRAD FINSTAD,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,154407.55,31580.58
2024 HON. BRAD FINSTAD,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,99991.56,23772.72
2024 HON. BRAD FINSTAD,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,114704,55858.12
2024 HON. BRAD FINSTAD,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,495,0
2024 HON. BRAD FINSTAD,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,52807.29,41297.45
2024 HON. BRAD FINSTAD,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8125.73,4426.73
2024 HON. BRAD FINSTAD,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1738607.01,560151.95
2024 HON. BRAD FINSTAD,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1738607.01,560151.95
2024 HON. BRAD FINSTAD,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14515,5550
2024 HON. BRAD FINSTAD,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,14515,5550
2024 HON. BRAD FINSTAD,INTERN ALLOWANCES,OFFICE TOTALS:,14515,5550
2024 HON. MICHELLE FISCHBACH,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,81858.64,9787.22
2024 HON. MICHELLE FISCHBACH,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1259622,403649.46
2024 HON. MICHELLE FISCHBACH,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,112471.14,27257.67
2024 HON. MICHELLE FISCHBACH,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,43266.79,9317.83
2024 HON. MICHELLE FISCHBACH,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,198249.91,2635.88
2024 HON. MICHELLE FISCHBACH,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,28837.98,6464.47
2024 HON. MICHELLE FISCHBACH,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,44944.82,29944.7
2024 HON. MICHELLE FISCHBACH,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,23619.36,19920.36
2024 HON. MICHELLE FISCHBACH,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1792870.64,508977.59
2024 HON. MICHELLE FISCHBACH,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1792870.64,508977.59
2024 HON. MICHELLE FISCHBACH,INTERN ALLOWANCES,PERSONNEL COMPENSATION,20277.34,2190
2024 HON. MICHELLE FISCHBACH,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,20277.34,2190
2024 HON. MICHELLE FISCHBACH,INTERN ALLOWANCES,OFFICE TOTALS:,20277.34,2190
2024 HON. SCOTT FITZGERALD,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,270310.32,139703.75
2024 HON. SCOTT FITZGERALD,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1054452.34,300606.17
2024 HON. SCOTT FITZGERALD,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,51881.93,11787.58
2024 HON. SCOTT FITZGERALD,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,45615.12,5019.7
2024 HON. SCOTT FITZGERALD,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,144771.32,72312.38
2024 HON. SCOTT FITZGERALD,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,907.58,0
2024 HON. SCOTT FITZGERALD,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,7738.74,1702.65
2024 HON. SCOTT FITZGERALD,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3720,930
2024 HON. SCOTT FITZGERALD,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1579397.35,532062.23
2024 HON. SCOTT FITZGERALD,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1579397.35,532062.23
2024 HON. SCOTT FITZGERALD,INTERN ALLOWANCES,PERSONNEL COMPENSATION,21776.66,2993.82
2024 HON. SCOTT FITZGERALD,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,21776.66,2993.82
2024 HON. SCOTT FITZGERALD,INTERN ALLOWANCES,OFFICE TOTALS:,21776.66,2993.82
2024 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,66873.58,7395.29
2024 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1502468.86,386149.98
2024 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,19663.79,4134.34
2024 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,113400.58,28759.2
2024 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,65695.88,18298.43
2024 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,51760.5,11871
2024 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,53971.65,8570.5
2024 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,6772.1,1388
2024 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1880606.94,466566.74
2024 HON. BRIAN K. FITZPATRICK,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1880606.94,466566.74
2024 HON. BRIAN K. FITZPATRICK,INTERN ALLOWANCES,PERSONNEL COMPENSATION,39989.14,10768.8
2024 HON. BRIAN K. FITZPATRICK,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,39989.14,10768.8
2024 HON. BRIAN K. FITZPATRICK,INTERN ALLOWANCES,OFFICE TOTALS:,39989.14,10768.8
"2024 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,105282.72,59
"2024 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1194891.86,331872.22
"2024 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,TRAVEL,119597.47,26747.9
"2024 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,75273.43,16034.02
"2024 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,123352.42,55
"2024 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,466.7,229.7
"2024 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,39718.84,28847.56
"2024 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4721.49,223.5
"2024 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1663304.93,404068.9
"2024 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1663304.93,404068.9
"2024 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",INTERN ALLOWANCES,PERSONNEL COMPENSATION,20816.67,0
"2024 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,20816.67,0
"2024 HON. CHARLES J. ""CHUCK"" FLEISCHMANN",INTERN ALLOWANCES,OFFICE TOTALS:,20816.67,0
2024 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,14521.53,238.81
2024 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1403680.15,383166.7
2024 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,63459.83,13847.82
2024 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,163173.11,40475.44
2024 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,56125.61,22390.61
2024 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,53178.2,15063.75
2024 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,76349.12,51974.43
2024 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10575.94,1498.5
2024 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1841063.49,528656.06
2024 HON. LIZZIE FLETCHER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1841063.49,528656.06
2024 HON. LIZZIE FLETCHER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,46453.85,14231.36
2024 HON. LIZZIE FLETCHER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,46453.85,14231.36
2024 HON. LIZZIE FLETCHER,INTERN ALLOWANCES,OFFICE TOTALS:,46453.85,14231.36
2024 HON. MIKE FLOOD,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,88747.72,19141.84
2024 HON. MIKE FLOOD,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1294605.51,393250.03
2024 HON. MIKE FLOOD,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,99694.12,32397.38
2024 HON. MIKE FLOOD,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,30615.82,12509.96
2024 HON. MIKE FLOOD,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,95594.92,4090.22
2024 HON. MIKE FLOOD,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,17640.54,127.99
2024 HON. MIKE FLOOD,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,72510.67,57484.47
2024 HON. MIKE FLOOD,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2776.86,0
2024 HON. MIKE FLOOD,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1702186.16,519001.89
2024 HON. MIKE FLOOD,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1702186.16,519001.89
2024 HON. MIKE FLOOD,INTERN ALLOWANCES,PERSONNEL COMPENSATION,22300,3600
2024 HON. MIKE FLOOD,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,22300,3600
2024 HON. MIKE FLOOD,INTERN ALLOWANCES,OFFICE TOTALS:,22300,3600
2024 HON. VINCE FONG,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,14200.58,570.64
2024 HON. VINCE FONG,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,703908.33,374900
2024 HON. VINCE FONG,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,52617.08,30451.21
2024 HON. VINCE FONG,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,112630.76,53300.81
2024 HON. VINCE FONG,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,92051.79,65364.78
2024 HON. VINCE FONG,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,54399.33,30107.59
2024 HON. VINCE FONG,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12340.82,6452.59
2024 HON. VINCE FONG,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2095.8,1594.8
2024 HON. VINCE FONG,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1044244.49,562742.42
2024 HON. VINCE FONG,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1044244.49,562742.42
2024 HON. VINCE FONG,INTERN ALLOWANCES,PERSONNEL COMPENSATION,27658.33,7250
2024 HON. VINCE FONG,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,27658.33,7250
2024 HON. VINCE FONG,INTERN ALLOWANCES,OFFICE TOTALS:,27658.33,7250
2024 HON. BILL FOSTER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,40779.04,12937.79
2024 HON. BILL FOSTER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1480876.96,432307.21
2024 HON. BILL FOSTER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,28273.78,4086.18
2024 HON. BILL FOSTER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,34825.2,9286.98
2024 HON. BILL FOSTER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,81006.13,37518.74
